standing quadricep stretch,1,0
standing side stretch,1,0
calf stretch,1,0
bow stretch,0,0
roll over,0,0
supine spine twist,1,0
side lunge pull,1,0
forward lunge pull,1,0
neck stretch,1,0
chest stretch,1,0
hurdlers stretch,1,0
reach for the sky,0,0
bend and reach,0,0
supine knee to chest stretch,1,0
overhead arm pull,1,0
butterfly stretch,0,0
ankle on the knee,1,0
single leg hamstring,1,0
arm circles,0,0
seated toe reach,0,0
bending windmill stretch,1,0
shoulder shrugs,0,0
seated spine twist,1,0
seal stretch,0,0
arm and shoulder stretch,1,0
kneeling hip flexor,1,0
standing toe reach,0,0
wrist stretch,1,0
